Trial-ID,Status,Iteration,lr_scaler,max_depth,n_estimators,subsample,Objective,test_mse
17660,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,10.422798024346044,9.891008066247588
17659,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.893033856930986,9.926447133865153
17658,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.800944178579426,10.935439073889198
17657,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.708366782652936,10.350163215894788
17656,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.659122413666177,10.427786498203146
17655,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.263152212740462,11.105903080633183
17654,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,13.842292770591195,12.105407335421706
17653,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.118347341020002,9.940041356863622
17652,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,14.136961433612887,11.48440044431248
17671,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.516385645306896,11.500088602509642
17670,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.087848450579038,9.932078576689037
17669,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.15069186762896,9.358339667492881
17668,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.94611148225665,9.732368369839238
17667,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,14.909057579365294,11.355556464942437
17666,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.914095119563148,9.296011911184431
17665,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.33553578688898,10.227576739095296
17664,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.540570639699009,9.860525026798015
17663,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.459455443217006,11.536290812167211
17662,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,14.56430206284734,10.303785594960267
17681,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,10.856043263463876,8.102752033878472
17680,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,14.100570179598675,11.070116564910203
17679,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,13.164193686489035,11.825358467498114
17678,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,11.04035659555845,9.064833482394448
17677,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.51948272034524,10.425448851393961
17676,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,13.868207647691614,10.956455521105173
17675,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,10.382976767983099,9.713190591898973
17674,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,10.637138868661504,9.010014832226474
17673,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,14.086225219347144,9.179197838234854
17672,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,11.813301522456673,11.616483595936206
17691,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,13.229333512306173,11.863753140401053
17690,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,14.064279836341422,10.442553516493843
17689,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.441649316413224,10.632304291293321
17688,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.903640319042475,10.426594429800312
17687,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.673245333196276,10.484119213229457
17686,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.37094505797308,10.424028789394356
17685,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,11.3692804214482,10.000502877636654
17684,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,11.235293807283995,10.152456292951882
17683,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,13.233481155603723,9.891328983338292
17682,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,11.414048387737626,9.082793236249143
17701,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,14.19872248904617,14.077885125068065
17700,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,11.821048657365607,9.31700026706798
17699,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.924146675847824,8.094737326577459
17698,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,12.840535275478357,9.66338425406283
17697,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,14.569809583876214,11.453573024407964
17696,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,14.744391776075375,9.605603816315494
17695,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,14.958147155097516,10.888222042505591
17694,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,13.081540829502018,13.804306136520555
17693,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,15.364098069364116,11.758335092788998
17692,COMPLETED,1,1.0401966982613042,7,388,0.5726298685853852,11.678258610112653,9.822878920323195
17711,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,11.133558790178146,12.41239534520712
17710,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,14.062939741219989,13.752816336594607
17709,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,11.652393738880685,12.511995843635635
17708,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.128648216703914,11.804828342321102
17707,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,15.057309401090635,14.207425243474159
17706,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.711268497884536,14.651701013832428
17705,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.726772071505994,13.080245146970265
17704,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.00253884306364,12.733176021053294
17703,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.224774230243476,12.758265200336005
17702,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,12.752740052591346,12.623217964094305
17721,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.257592598095767,13.819883510332993
17720,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,12.938328426933632,13.299800518619517
17719,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,12.323537056831483,13.375839694932912
17718,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.596741246355196,15.170938530505536
17717,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.91889415448561,15.88132417797578
17716,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.112167117118124,13.973635863765216
17715,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.567696458684633,12.979277489783378
17714,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.798287575538088,14.640985284029426
17713,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,13.26730100332184,14.517647764907027
17712,COMPLETED,1,0.909488265632559,2,168,0.5990812860300514,11.043495436540933,12.436055986501446
17731,COMPLETED,1,1.1824700014033351,9,303,0.6911553088436642,12.608450956016526,9.894354757585392
17730,COMPLETED,1,1.1824700014033351,9,303,0.6911553088436642,13.239954632946286,10.486434068256305
